id,State,City,FAA,IATA,ICAO,Airport
1,Alabama,Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport
2,Alabama,Dothan,DHN,DHN,KDHN,Dothan Regional Airport
3,Alabama,Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field)
4,Alabama,Mobile,MOB,MOB,KMOB,Mobile Regional Airport
5,Alabama,Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
6,Alaska,Anchorage,MRI,MRI,PAMR,Merrill Field
7,Alaska,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport
8,Alaska,Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base)
9,Alaska,Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport
10,Alaska,Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport)
11,Alaska,Dillingham,DLG,DLG,PADL,Dillingham Airport
12,Alaska,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport
13,Alaska,Gustavus,GST,GST,PAGS,Gustavus Airport
14,Alaska,Homer,HOM,HOM,PAHO,Homer Airport
15,Alaska,Juneau,JNU,JNU,PAJN,Juneau International Airport
16,Alaska,Kenai,ENA,ENA,PAEN,Kenai Municipal Airport
17,Alaska,Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport
18,Alaska,King Salmon,AKN,AKN,PAKN,King Salmon Airport
19,Alaska,Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base)
20,Alaska,Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport)
21,Alaska,Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport
22,Alaska,Nome,OME,OME,PAOM,Nome Airport
23,Alaska,Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport
24,Alaska,Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport
25,Alaska,Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport)
26,Alaska,Utqia_vik (Barrow),BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport
27,Alaska,Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base)
28,Alaska,Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base)
29,Arizona,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport
30,Arizona,Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB)
31,Arizona,Page,PGA,PGA,KPGA,Page Municipal Airport
32,Arizona,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport
33,Arizona,Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field)
34,Arizona,Tucson,TUS,TUS,KTUS,Tucson International Airport
35,Arizona,Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma
36,Arkansas,Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport
37,Arkansas,Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport
38,Arkansas,Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National)
39,Arkansas,Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field)
40,California,Arcata/Eureka,ACV,ACV,KACV,California Redwood Coast–Humboldt County Airport
41,California,Bakersfield,BFL,BFL,KBFL,Meadows Field
42,California,Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport)
43,California,Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport
44,California,Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field)
45,California,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport
46,California,Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport)
47,California,Oakland,OAK,OAK,KOAK,Oakland International Airport
48,California,Ontario,ONT,ONT,KONT,Ontario International Airport
49,California,Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport)
50,California,Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport
51,California,Redding,RDD,RDD,KRDD,Redding Municipal Airport
52,California,Sacramento,SMF,SMF,KSMF,Sacramento International Airport
53,California,San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field)
54,California,San Francisco,SFO,SFO,KSFO,San Francisco International Airport
55,California,San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport
56,California,San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field)
57,California,Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport)
58,California,Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
59,California,Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport
60,California,Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport
61,Colorado,Alamosa,ALS,ALS,KALS,San Luis Valley Regional Airport (Bergman Field)
62,Colorado,Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field)
63,Colorado,Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport
64,Colorado,Denver,DEN,DEN,KDEN,Denver International Airport
65,Colorado,Durango,DRO,DRO,KDRO,Durango–La Plata County Airport
66,Colorado,Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport
67,Colorado,Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field)
68,Colorado,Gunnison,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport
69,Colorado,Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional)
70,Colorado,Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport
71,Connecticut,Hartford,BDL,BDL,KBDL,Bradley International Airport
72,Connecticut,New Haven,HVN,HVN,KHVN,Tweed-New Haven Airport
73,Delaware,Wilmington,ILG,ILG,KILG,Wilmington Airport
74,Florida,Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport
75,Florida,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport
76,Florida,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport
77,Florida,Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base
78,Florida,Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport
79,Florida,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport
80,Florida,Key West,EYW,EYW,KEYW,Key West International Airport
81,Florida,Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport
82,Florida,Miami,MIA,MIA,KMIA,Miami International Airport
83,Florida,Orlando,MCO,MCO,KMCO,Orlando International Airport
84,Florida,Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport
85,Florida,Pensacola,PNS,PNS,KPNS,Pensacola International Airport
86,Florida,Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport
87,Florida,Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport
88,Florida,Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport
89,Florida,St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport
90,Florida,Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport
91,Florida,Tampa,TPA,TPA,KTPA,Tampa International Airport
92,Florida,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport
93,Georgia,Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport
94,Georgia,Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport
95,Georgia,Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field)
96,Georgia,Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport
97,Georgia,Columbus,CSG,CSG,KCSG,Columbus Airport
98,Georgia,Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport
99,Georgia,Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport
100,Georgia,Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport
101,Hawaii,"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport
102,Hawaii,"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport
103,Hawaii,"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport
104,Hawaii,"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole
105,Hawaii,"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport (Hoolehua Airport)
106,Hawaii,"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport
107,Hawaii,"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport
108,Idaho,Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field)
109,Idaho,Hailey / Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport
110,Idaho,Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field)
111,Idaho,Lewiston,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport
112,Idaho,Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport
113,Idaho,Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field)
114,Illinois,Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base
115,Illinois,Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal
116,Illinois,Champaign / Urbana / Savoy,CMI,CMI,KCMI,University of Illinois - Willard Airport
117,Illinois,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport
118,Illinois,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport
119,Illinois,Marion,MWA,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport)
120,Illinois,Moline,MLI,MLI,KMLI,Quad City International Airport
121,Illinois,Peoria,PIA,PIA,KPIA,General Downing-Peoria International Airport
122,Illinois,Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford)
123,Illinois,Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport
124,Indiana,Evansville,EVV,EVV,KEVV,Evansville Regional Airport
125,Indiana,Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport
126,Indiana,Indianapolis,IND,IND,KIND,Indianapolis International Airport
127,Indiana,South Bend,SBN,SBN,KSBN,South Bend International Airport
128,Iowa,Cedar Rapids,CID,CID,KCID,Eastern Iowa Airport
129,Iowa,Des Moines,DSM,DSM,KDSM,Des Moines International Airport
130,Iowa,Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport
131,Iowa,Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Brig. General Bud Day Field)
132,Iowa,Waterloo,ALO,ALO,KALO,Waterloo Regional Airport
133,Kansas,Garden City,GCK,GCK,KGCK,Garden City Regional Airport
134,Kansas,Hays,HYS,HYS,KHYS,Hays Regional Airport
